	RM_C	RM_N
pp_209097	4.475213739333333	28.914943980333334
pp_206073	0.07663938433333334	0.8791894743333333
pp_202151	6.5683460123333335	0.839036217
pp_196206	0.0	26.980801126333333
pp_93055	0.049285292999999994	1.018669397
pp_120342	0.8275344760000001	4.5228011163333335
pp_211832	0.7891166856666667	4.459092448
pp_60102	5.198563846333333	0.17461558133333333
pp_109329	0.007217386333333333	1.3441309853333334
pp_198650	0.028593194333333335	0.40070569
pp_211638	0.15267701866666666	1.239360223
pp_189067	14.536068972	60.93094777666667
pp_117014	0.35304504366666667	5.62835577
pp_246540	0.46434907000000003	5.088496875000001
pp_180055	0.23789426966666666	2.0239485526666665
pp_155003	0.029947855	0.5873098846666667
pp_151982	0.100648373	2.062782945
pp_245697	0.2789723316666667	2.803258154
pp_135902	1.9258123793333333	19.230254497666667
pp_209431	0.003608693	0.803488356
pp_76477	0.220607527	1.318349859
pp_166776	0.16648607733333334	0.0
pp_213922	0.22404579433333335	2.413778305333333
